id_article,author,year,author_
conf/itsc/StannartzTLSKB20,adalberto llarena,2020,adalberto llarena
journals/ijccc/Benitez-PerezOR16,a. duran chavesti,2016,adrian duran chavesti
conf/clef/RuizGHO15,adrian espino gamez,2015,adrian espino gamez
journals/remotesensing/BarrioSHYROVEP16,alberto ruiz,2016,alberto caballero ruiz
journals/pr/RuizLR17,alberto ruiz,2017,alberto caballero ruiz
journals/prl/Ruiz18,alberto ruiz,2018,alberto caballero ruiz
journals/data/RuizSPB16,alberto ruiz,2016,alberto caballero ruiz
journals/siamma/BarceloFPRV18,alberto ruiz,2018,alberto caballero ruiz
journals/appml/BarceloFRVV15,alberto ruiz,2015,alberto caballero ruiz
conf/ssrr/Amor-MartinezSH16,alberto ruiz,2016,alberto caballero ruiz
conf/avi/BellucciRDA18,alberto ruiz,2018,alberto caballero ruiz
journals/eswa/MunozLCCC15,alberto caballero,2015,alberto caballero ruiz
journals/jaise/CaballeroGPB16,alberto caballero,2016,alberto caballero ruiz
journals/ile/CantabellaLCM18,alberto caballero,2018,alberto caballero ruiz
conf/intenv/OlivaCM16,alberto caballero,2016,alberto caballero ruiz
conf/multitemp/Lopez-Caloca15,alejandra lopez caloca,2015,alejandra aurelia lopez caloca
conf/multitemp/ChapalaPCL15,alejandra lopez caloca,2015,alejandra aurelia lopez caloca
conf/micai/EnguixSDPCG16,alejandro dorantes,2016,alejandro dorantes cruz
journals/candc/Perez-RuedaTHBM15,alejandro huerta saquero,2015,alejandro huerta saquero
journals/algorithmica/ChalkFHMSS16,alejandro huerta,2016,alejandro huerta saquero
journals/corr/ChalkFHMMSW15,alejandro huerta,2015,alejandro huerta saquero
conf/dna/ChalkFHMMSW15,alejandro huerta,2015,alejandro huerta saquero
journals/remotesensing/MoralesSGRHGL17,alejandro morales,2017,alejandro morales mori
journals/remotesensing/MoralesGGL15,alejandro morales,2015,alejandro morales mori
journals/firai/MoralesF20,alejandro morales,2020,alejandro morales mori
journals/corr/NarayanMPKMKE16,alejandro morales,2016,alejandro morales mori
journals/corr/abs-2010-15272,alejandro morales,2020,alejandro morales mori
journals/sensors/MoralesGHDJMLL20,alejandro morales,2020,alejandro morales mori
conf/mascots/NarayanMPKMKE16,alejandro morales,2016,alejandro morales mori
conf/lacci/FariasMGRM18,alejandro morales,2018,alejandro morales mori
conf/dcis/HorstrandGDMJLL19,alejandro morales,2019,alejandro morales mori
conf/dcis/GuerraHRDMJLL19,alejandro morales,2019,alejandro morales mori
conf/ssci/MoralesF20,alejandro morales,2020,alejandro morales mori
journals/rcs/CasillasR19,alejandro ramirez,2019,alejandro morales ramirez
journals/ejwcn/KumarKRK19,alejandro ramirez,2019,alejandro morales ramirez
journals/corr/abs-1904-12743,alejandro ramirez,2019,alejandro morales ramirez
conf/wimob/KumarKRK18,alejandro ramirez,2018,alejandro morales ramirez
conf/wcnc/KumarKRK19,alejandro ramirez,2019,alejandro morales ramirez
conf/eucnc/KumarKRK18,alejandro ramirez,2018,alejandro morales ramirez
conf/kivs/ZielinskiSZSRZM19,alejandro ramirez,2019,alejandro morales ramirez
journals/remotesensing/MoralesSGRHGL17,alejandro morales,2017,alejandro morales ramirez
journals/remotesensing/MoralesGGL15,alejandro morales,2015,alejandro morales ramirez
journals/firai/MoralesF20,alejandro morales,2020,alejandro morales ramirez
journals/corr/NarayanMPKMKE16,alejandro morales,2016,alejandro morales ramirez
journals/corr/abs-2010-15272,alejandro morales,2020,alejandro morales ramirez
journals/sensors/MoralesGHDJMLL20,alejandro morales,2020,alejandro morales ramirez
conf/mascots/NarayanMPKMKE16,alejandro morales,2016,alejandro morales ramirez
conf/lacci/FariasMGRM18,alejandro morales,2018,alejandro morales ramirez
conf/dcis/HorstrandGDMJLL19,alejandro morales,2019,alejandro morales ramirez
conf/dcis/GuerraHRDMJLL19,alejandro morales,2019,alejandro morales ramirez
conf/ssci/MoralesF20,alejandro morales,2020,alejandro morales ramirez
journals/linguamatica/DorantesPSEM17,alejandro pimentel,2017,alejandro pimentel alarcon
journals/pdln/CasasolaPSCM19,alejandro pimentel,2019,alejandro pimentel alarcon
conf/micai/EnguixSDPCG16,alejandro pimentel,2016,alejandro pimentel alarcon
conf/micai/PimentelSM16,alejandro pimentel,2016,alejandro pimentel alarcon
conf/clef/SolorzanoMPLMS15,alejandro pimentel,2015,alejandro pimentel alarcon
conf/coling/PimentelEMM20,alejandro pimentel,2020,alejandro pimentel alarcon
journals/entropy/LozanoCB20,alexis lozano,2020,alexis lozano
journals/jms/CvetkovicJRKSL16,alfonso e. romero,2016,alfonso estudillo romero
journals/ci/KafaliRS17,alfonso e. romero,2017,alfonso estudillo romero
conf/clef/Ribadas-PenaCBR15,alfonso e. romero,2015,alfonso estudillo romero
conf/ph/LustrekCMKRS15,alfonso e. romero,2015,alfonso estudillo romero
journals/jocch/FloresGDNSAN19,alfonso gastelum strozzi,2019,alfonso gastelum strozzi
journals/neuroimage/MateosSBBAM20,alfonso gastelum strozzi,2020,alfonso gastelum strozzi
conf/acivs/GeeGWASD20,alfonso gastelum strozzi,2020,alfonso gastelum strozzi
conf/acivs/ValdezDGGDAS20,alfonso gastelum strozzi,2020,alfonso gastelum strozzi
conf/ivcnz/AndersonACJDAVL17,alfonso gastelum strozzi,2017,alfonso gastelum strozzi
conf/ivcnz/HanMGSDG17,alfonso gastelum strozzi,2017,alfonso gastelum strozzi
conf/ivcnz/ArenasDS20,alfonso gastelum strozzi,2020,alfonso gastelum strozzi
conf/mva/GeeJMSDG17,alfonso gastelum strozzi,2017,alfonso gastelum strozzi
journals/mbec/GastelumMBDVSAF16,alfonso gastelum,2016,alfonso gastelum strozzi
conf/mammo/MateosGMB16,alfonso gastelum,2016,alfonso gastelum strozzi
journals/prl/Mendez-CruzUS16,alfonso medina urrea,2016,alfonso medina urrea
journals/pdln/Gutierrez-Vasques19,alfonso medina urrea,2019,alfonso medina urrea
journals/corr/abs-1912-09558,alfonso medina urrea,2019,alfonso medina urrea
journals/corr/abs-1807-00286,alfonso medina urrea,2018,alfonso medina urrea
conf/ofc/DiosYPSBYGCKLY30,alfredo gonzalez,2020,alfredo arenas gonzalez
journals/mr/LandesmanLJPLBD15,alfredo torres,2015,alfredo gallardo torres
journals/mr/SoutoPTJ17,alfredo torres,2017,alfredo gallardo torres
journals/mr/SoutoPTJBL16,alfredo torres,2016,alfredo gallardo torres
journals/pr/AguilarAGVB20,montserrat alvarado gonzalez,2020,alicia montserrat alvarado gonzalez
journals/pr/Alvarado-Gonzalez19,montserrat alvarado gonzalez,2019,alicia montserrat alvarado gonzalez
journals/cmmm/Alvarado-Gonzalez16,montserrat alvarado gonzalez,2016,alicia montserrat alvarado gonzalez
journals/rcs/JaimesCFA18,alicia montserrat alvarado gonzalez,2018,alicia montserrat alvarado gonzalez
journals/corr/abs-1909-06970,alicia montserrat alvarado gonzalez,2019,alicia montserrat alvarado gonzalez
journals/rcs/GaribayG15,alonso palomino garibay,2015,alonso palomino garibay
conf/micai/Galicia-HaroGGG15,alonso palomino garibay,2015,alonso palomino garibay
conf/clef/GaribayCFHBR15,alonso palomino garibay,2015,alonso palomino garibay
journals/scientometrics/Lopez-NavarroMQ15,ana i. moreno,2015,ana isabel moreno calles
conf/hci/RiveraRJ20,ana rivera,2020,ana leonor rivera
journals/corr/abs-2001-06190,ana lilia laureano cruces,2020,ana lilia laureano cruces
journals/ml/StephensHL18,ana ruiz linares,2018,ana ruiz linares
conf/iisa/StephensHL15,ana ruiz linares,2015,ana ruiz linares
conf/wsa/BasavarajappaPR18,ana ruiz,2018,ana ruiz linares
journals/ijccc/Benitez-PerezOE16,andres alvarez cid,2016,andres alvarez cid
conf/clei/AlvarezZR16,andres alvarez,2016,andres alvarez cid
conf/ciarp/Gomez-OrozcoCGA16,andres alvarez,2016,andres alvarez cid
journals/cee/Burbano-AbrilER18,andres burbano abril,2018,andres burbano abril
conf/icdsc/BurbanoVB16,andres burbano,2016,andres burbano abril
conf/icdsc/Burbano16,andres burbano,2016,andres burbano abril
journals/fuin/MartinezAA15,andrew adamatzky,2015,andrew adamatzky
journals/alife/Adamatzky15,andrew adamatzky,2015,andrew adamatzky
journals/anor/ZhangACMD17,andrew adamatzky,2017,andrew adamatzky
journals/ijpr/ZhangCAMYZD17,andrew adamatzky,2017,andrew adamatzky
journals/jip/GholamiDARZFM20,andrew adamatzky,2020,andrew adamatzky
journals/ppl/Adamatzky15,andrew adamatzky,2015,andrew adamatzky
journals/compsys/TaghipourJDA16,andrew adamatzky,2016,andrew adamatzky
journals/compsys/Adamatzky0MTTW20,andrew adamatzky,2020,andrew adamatzky
journals/compsys/Adamatzky16,andrew adamatzky,2016,andrew adamatzky
journals/compsys/Adamatzky17,andrew adamatzky,2017,andrew adamatzky
journals/compsys/MartinezAHDZ19,andrew adamatzky,2019,andrew adamatzky
journals/compsys/AdamatzkyVS19,andrew adamatzky,2019,andrew adamatzky
journals/access/DourvasSA19,andrew adamatzky,2019,andrew adamatzky
journals/flap/SchumannA15,andrew adamatzky,2015,andrew adamatzky
journals/biosystems/WhitingCA15,andrew adamatzky,2015,andrew adamatzky
journals/biosystems/GunjiNMA20,andrew adamatzky,2020,andrew adamatzky
journals/biosystems/TsompanasAIPSG17,andrew adamatzky,2017,andrew adamatzky
journals/biosystems/Adamatzky15,andrew adamatzky,2015,andrew adamatzky
journals/biosystems/GizzieMPKA16,andrew adamatzky,2016,andrew adamatzky
journals/biosystems/AdamatzkyS15,andrew adamatzky,2015,andrew adamatzky
journals/biosystems/AdamatzkySMBM17,andrew adamatzky,2017,andrew adamatzky
journals/biosystems/MayneWWMA17,andrew adamatzky,2017,andrew adamatzky
journals/biosystems/DimonteAEL16,andrew adamatzky,2016,andrew adamatzky
journals/biosystems/TaylorAGI15,andrew adamatzky,2015,andrew adamatzky
journals/biosystems/AdamatzkyTWPBM20,andrew adamatzky,2020,andrew adamatzky
journals/biosystems/PhillipsAM17,andrew adamatzky,2017,andrew adamatzky
journals/biosystems/DimonteAEL16a,andrew adamatzky,2016,andrew adamatzky
journals/biosystems/PreenBA19,andrew adamatzky,2019,andrew adamatzky
journals/biosystems/PhillipsAM18,andrew adamatzky,2018,andrew adamatzky
journals/biosystems/Adamatzky19,andrew adamatzky,2019,andrew adamatzky
journals/biosystems/JonesWA15,andrew adamatzky,2015,andrew adamatzky
journals/biosystems/VallverduCMTLBG18,andrew adamatzky,2018,andrew adamatzky
journals/biosystems/Adamatzky20,andrew adamatzky,2020,andrew adamatzky
journals/amc/SafonovA18,andrew adamatzky,2018,andrew adamatzky
journals/ijuc/Adamatzky15,andrew adamatzky,2015,andrew adamatzky
journals/ijuc/Adamatzky17,andrew adamatzky,2017,andrew adamatzky
journals/ijuc/JonesA15,andrew adamatzky,2015,andrew adamatzky
journals/ijuc/AdamatzkyABW19,andrew adamatzky,2019,andrew adamatzky
journals/ijbc/Adamatzky15,andrew adamatzky,2015,andrew adamatzky
journals/ijbc/DourvasSA17,andrew adamatzky,2017,andrew adamatzky
journals/ijbc/AdamatzkyM15,andrew adamatzky,2015,andrew adamatzky
journals/ijbc/Adamatzky17,andrew adamatzky,2017,andrew adamatzky
journals/ijbc/SiccardiA16,andrew adamatzky,2016,andrew adamatzky
journals/ijig/DehshibiSA15,andrew adamatzky,2015,andrew adamatzky
journals/tcyb/TsompanasSA15,andrew adamatzky,2015,andrew adamatzky
journals/paapp/JonesMA17,andrew adamatzky,2017,andrew adamatzky
journals/paapp/WatsonA20,andrew adamatzky,2020,andrew adamatzky
journals/paapp/MayneJGA17,andrew adamatzky,2017,andrew adamatzky
journals/chinaf/ZhangAYYMD16,andrew adamatzky,2016,andrew adamatzky
journals/jmemcom/MaynePA19,andrew adamatzky,2019,andrew adamatzky
journals/corr/abs-2003-08681,andrew adamatzky,2020,andrew adamatzky
journals/corr/abs-1712-00414,andrew adamatzky,2017,andrew adamatzky
journals/corr/SafonovA17,andrew adamatzky,2017,andrew adamatzky
journals/corr/JonesA15a,andrew adamatzky,2015,andrew adamatzky
journals/corr/abs-1712-04681,andrew adamatzky,2017,andrew adamatzky
journals/corr/abs-1904-01520,andrew adamatzky,2019,andrew adamatzky
journals/corr/Adamatzky15,andrew adamatzky,2015,andrew adamatzky
journals/corr/abs-1810-04981,andrew adamatzky,2018,andrew adamatzky
journals/corr/GizzieMYIA15,andrew adamatzky,2015,andrew adamatzky
