id_article,author,year
journals/apjor/LuoLFC17,Xiaoxiao Luo,2017
journals/apjor/LuoLFC17,Minqiang Li,2017
journals/apjor/LuoLFC17,Nan Feng,2017
journals/apjor/LuoLFC17,Fuzan Chen,2017
journals/apjor/YangKJ19,Feng Yang 0005,2019
journals/apjor/YangKJ19,Junjun Kong,2019
journals/apjor/YangKJ19,Minyue Jin,2019
journals/apjor/ChoiP18,Byung-Cheon Choi,2018
journals/apjor/ChoiP18,Myoung-Ju Park,2018
journals/apjor/ShanSY17,Siqing Shan,2017
journals/apjor/ShanSY17,Jihong Shi,2017
journals/apjor/ShanSY17,Qi Yan,2017
journals/apjor/HouH15,Jing Hou,2015
journals/apjor/HouH15,Xiangpei Hu,2015
journals/apjor/LiWW15,Xin-Jun Li,2015
journals/apjor/LiWW15,Jian-Jun Wang 0001,2015
journals/apjor/LiWW15,Xue-Ru Wang,2015
journals/apjor/MaZBH20,Benjiang Ma,2020
journals/apjor/MaZBH20,Zhongmin Zhou,2020
journals/apjor/MaZBH20,Muhammad Farhan Bashir,2020
journals/apjor/MaZBH20,Yuan-Ji Huang,2020
journals/apjor/LuTF15,Yuan-Yuan Lu,2015
journals/apjor/LuTF15,Fei Teng,2015
journals/apjor/LuTF15,Zhi-Xin Feng,2015
journals/apjor/EfrosininWM15,Dmitry Efrosinin,2015
journals/apjor/EfrosininWM15,Anastasia Winkler,2015
journals/apjor/EfrosininWM15,Martin Pinzger 0002,2015
journals/apjor/EydiF16,Alireza Eydi,2016
journals/apjor/EydiF16,Leyla Fazli,2016
journals/apjor/LiuXY18,Zheng Liu,2018
journals/apjor/LiuXY18,Qi Xu,2018
journals/apjor/LiuXY18,Kun Yang,2018
journals/apjor/FanWY19,Jun Fan,2019
journals/apjor/FanWY19,Liqun Wang,2019
journals/apjor/FanWY19,Ailing Yan,2019
journals/apjor/Park17,Changkyu Park,2017
journals/apjor/ShenW18,Yichi Shen,2018
journals/apjor/ShenW18,Kan Wu,2018
journals/apjor/MaZLL19,Qingqing Ma,2019
journals/apjor/MaZLL19,Yiqiang Q. Zhao,2019
journals/apjor/MaZLL19,Weiqi Liu,2019
journals/apjor/MaZLL19,Jihong Li,2019
journals/apjor/TaoLC16,Yi Tao,2016
journals/apjor/TaoLC16,Loo Hay Lee,2016
journals/apjor/TaoLC16,Ek Peng Chew,2016
journals/apjor/El-Hadidy16,Mohamed Abd Allah El-Hadidy,2016
journals/apjor/XuWLT18,Qi Xu,2018
journals/apjor/XuWLT18,Wenjie Wang,2018
journals/apjor/XuWLT18,Zheng Liu,2018
journals/apjor/XuWLT18,Pan Tong,2018
journals/apjor/ZhaoY17,Qiulan Zhao,2017
journals/apjor/ZhaoY17,Jinjiang Yuan,2017
journals/apjor/TongHH17,Jun Tong,2017
journals/apjor/TongHH17,Jian-Qiang Hu,2017
journals/apjor/TongHH17,Jiaqiao Hu,2017
journals/apjor/0001WLL20,Zai-Yun Peng 0001,2020
journals/apjor/0001WLL20,Jing-Jing Wang,2020
journals/apjor/0001WLL20,Xian-Jun Long,2020
journals/apjor/0001WLL20,Fuping Liu,2020
journals/apjor/NakadeN20,Koichi Nakade,2020
journals/apjor/NakadeN20,Shunta Nishimura,2020
journals/apjor/BaiHL19,Xue-Li Bai,2019
journals/apjor/BaiHL19,Zheng-Hai Huang,2019
journals/apjor/BaiHL19,Xia Li,2019
journals/apjor/WangXXY15,Kai Wang,2015
journals/apjor/WangXXY15,Zhongkai Xiong,2015
journals/apjor/WangXXY15,Yu Xiong,2015
journals/apjor/WangXXY15,Wei Yan 0003,2015
journals/apjor/LiC17,Shi-Sheng Li,2017
journals/apjor/LiC17,Ren-Xia Chen,2017
journals/apjor/Sedeno-Noda16,Antonio Sedeño-Noda,2016
journals/apjor/AbdiBA18,Soheila Abdi,2018
journals/apjor/AbdiBA18,Fahimeh Baroughi Bonab,2018
journals/apjor/AbdiBA18,Behrooz Alizadeh,2018
journals/apjor/000119,Michael C. Fu 0001,2019
journals/apjor/ZhaoLW15,Ning Zhao,2015
journals/apjor/ZhaoLW15,Zhaotong Lian,2015
journals/apjor/ZhaoLW15,Kan Wu,2015
journals/apjor/LiuY18,Qijia Liu,2018
journals/apjor/LiuY18,Jinjiang Yuan,2018
journals/apjor/Aviles-SacotoCG18,Sonia Valeria Avilés-Sacoto,2018
journals/apjor/Aviles-SacotoCG18,Wade D. Cook,2018
journals/apjor/Aviles-SacotoCG18,David Güemes-Castorena,2018
journals/apjor/Aviles-SacotoCG18,Francisco Benita,2018
journals/apjor/Aviles-SacotoCG18,Hector Ceballos,2018
journals/apjor/Aviles-SacotoCG18,Joe Zhu,2018
journals/apjor/DuH18,Ni Du,2018
journals/apjor/DuH18,Qinglan Han,2018
journals/apjor/WuLWH17,Zhongming Wu,2017
journals/apjor/WuLWH17,Min Li,2017
journals/apjor/WuLWH17,David Z. W. Wang,2017
journals/apjor/WuLWH17,Deren Han,2017
journals/apjor/ShenGGZ18,Jie Shen,2018
journals/apjor/ShenGGZ18,Yali Gao,2018
journals/apjor/ShenGGZ18,Fang-Fang Guo,2018
journals/apjor/ShenGGZ18,Rui Zhao,2018
journals/apjor/ParkCMK20,Myoung-Ju Park,2020
journals/apjor/ParkCMK20,Byung-Cheon Choi,2020
journals/apjor/ParkCMK20,Yunhong Min,2020
journals/apjor/ParkCMK20,Kyung Min Kim,2020
journals/apjor/CuiLCX16,Li Cui,2016
journals/apjor/CuiLCX16,Lu Liu 0010,2016
journals/apjor/CuiLCX16,Di-Rong Chen,2016
journals/apjor/CuiLCX16,Jianfeng Xie,2016
journals/apjor/WuWZWP19,Qiong Wu,2019
journals/apjor/WuWZWP19,Jin-He Wang,2019
journals/apjor/WuWZWP19,Hong-Wei Zhang,2019
journals/apjor/WuWZWP19,Shuang Wang,2019
journals/apjor/WuWZWP19,Li-Ping Pang 0001,2019
journals/apjor/ShenC17,Bin Shen 0006,2017
journals/apjor/ShenC17,Hau-Ling Chan,2017
journals/apjor/MaSLW15,Wei-Min Ma,2015
journals/apjor/MaSLW15,Li Sun,2015
journals/apjor/MaSLW15,S. C. Liu,2015
journals/apjor/MaSLW15,T. H. Wu,2015
journals/apjor/Liu16,Yang Liu 0131,2016
journals/apjor/LeeP15,Zon-Yau Lee,2015
journals/apjor/LeeP15,Chung-Che Pai,2015
journals/apjor/LinCFX18,Bing Lin,2018
journals/apjor/LinCFX18,Shaoxiang Chen,2018
journals/apjor/LinCFX18,Yi Feng,2018
journals/apjor/LinCFX18,Jianjun Xu,2018
journals/apjor/ChoiP15,Byung-Cheon Choi,2015
journals/apjor/ChoiP15,Myoung-Ju Park,2015
journals/apjor/SeoLC15,Dong-Won Seo,2015
journals/apjor/SeoLC15,Jinpyo Lee,2015
journals/apjor/SeoLC15,Byeong-Yun Chang,2015
journals/apjor/ZhaoC18,Qi Zhao,2018
journals/apjor/ZhaoC18,Zhongwen Chen,2018
journals/apjor/ChenDZL20,Hongqiao Chen,2020
journals/apjor/ChenDZL20,Xiaosong Ding,2020
journals/apjor/ChenDZL20,Jihong Zhang,2020
journals/apjor/ChenDZL20,Huayi Li,2020
journals/apjor/LiY15,Wenjie Li,2015
journals/apjor/LiY15,Jinjiang Yuan,2015
journals/apjor/PadronG19,Silvia Padrón,2019
journals/apjor/PadronG19,Daniel Guimarans,2019
